"wvsccode","wave","year","aj","age","collegeed","female","unemployed","ideology","satisfinancial","postma4","cai","trustmostpeople","godimportant","respectauthority","nationalpride"
840,1,1982,8,26,,0,0,3,8,,1,0,10,1,0
840,1,1982,4,56,,0,0,,2,,-2,1,5,1,
840,1,1982,4,21,,0,1,3,4,,-1,1,3,-1,0
840,1,1982,1,21,,1,0,,2,,0,0,6,1,
840,1,1982,1,32,,1,0,8,7,,-1,0,10,1,0
840,1,1982,10,59,,1,0,10,7,,0,0,10,1,1
840,1,1982,10,48,,1,0,5,10,,-1,0,10,1,1
840,1,1982,4,30,,1,0,6,7,,-1,0,10,1,0
840,1,1982,1,55,,1,0,8,8,,-1,0,10,1,1
840,1,1982,1,60,,0,1,1,1,,1,0,10,1,1
840,1,1982,1,70,,0,0,5,10,,0,0,10,1,1
840,1,1982,1,19,,0,0,5,10,,-2,,10,1,0
840,1,1982,3,50,,0,0,,5,,1,,10,1,1
840,1,1982,1,40,,1,0,7,8,,0,1,10,1,1
840,1,1982,5,26,,1,1,9,10,,0,1,7,1,
840,1,1982,1,73,,1,0,,4,,1,0,9,0,1
840,1,1982,2,53,,1,0,6,10,,0,0,10,1,1
840,1,1982,3,21,,1,0,6,3,,0,1,9,1,0
840,1,1982,1,20,,0,1,,7,,-2,0,10,1,
840,1,1982,5,27,,0,0,1,10,,-1,1,10,1,1
840,1,1982,2,29,,1,0,,6,,0,0,9,1,0
840,1,1982,1,60,,1,0,8,9,,-1,0,10,1,1
840,1,1982,1,37,,0,1,,8,,-1,1,10,1,
840,1,1982,1,21,,0,1,5,5,,2,0,8,1,1
840,1,1982,1,22,,1,,8,4,,0,0,9,1,0
840,1,1982,5,23,,1,0,6,7,,0,1,9,0,1
840,1,1982,1,20,,1,0,6,4,,-1,0,10,1,1
840,1,1982,1,48,,1,0,6,7,,0,1,10,1,1
840,1,1982,1,40,,0,0,6,9,,-2,0,8,1,0
840,1,1982,2,54,,0,0,3,3,,0,,10,1,0
840,1,1982,10,28,,1,0,5,6,,0,0,10,1,1
840,1,1982,1,37,,1,0,6,10,,-2,0,10,1,1
840,1,1982,6,27,,1,0,,6,,-1,0,10,1,1
840,1,1982,,35,,1,0,,3,,-1,0,10,1,0
840,1,1982,1,40,,0,0,5,6,,-1,,,0,0
840,1,1982,,50,,1,0,10,7,,-1,0,10,,
840,1,1982,1,20,,1,0,,6,,0,0,10,1,1
840,1,1982,5,24,,1,0,,,,-1,0,,1,1
840,1,1982,1,71,,1,0,8,4,,1,0,10,0,1
840,1,1982,1,53,,0,0,10,1,,-1,0,10,1,1
840,1,1982,8,19,,0,0,4,6,,-1,1,1,1,
840,1,1982,3,26,,0,0,2,3,,-1,0,5,-1,0
840,1,1982,5,27,,0,0,,7,,0,1,7,1,1
840,1,1982,1,26,,0,0,5,1,,-2,0,7,1,0
840,1,1982,5,33,,0,0,10,9,,-2,1,9,1,1
840,1,1982,10,35,,0,0,10,10,,1,0,10,1,1
840,1,1982,1,67,,1,0,10,10,,0,0,10,1,1
840,1,1982,3,61,,0,0,5,9,,-2,0,10,1,0
840,1,1982,2,60,,0,0,5,7,,-1,1,10,1,0
840,1,1982,6,29,,0,0,10,8,,0,0,10,1,
840,1,1982,1,59,,0,0,6,10,,0,1,10,1,1
840,1,1982,1,27,,1,,10,10,,1,0,10,1,1
840,1,1982,4,25,,1,0,,7,,1,0,10,1,0
840,1,1982,1,50,,0,0,7,6,,0,0,10,1,1
840,1,1982,2,59,,0,1,7,3,,-2,0,10,1,0
840,1,1982,10,60,,1,0,,6,,-2,0,9,1,1
840,1,1982,6,18,,0,0,,7,,-1,0,10,1,0
840,1,1982,1,18,,0,0,8,10,,-2,1,10,1,0
840,1,1982,1,26,,1,0,5,7,,-2,0,8,1,1
840,1,1982,5,65,,1,0,,8,,-1,0,10,1,1
840,1,1982,1,32,,0,0,,3,,1,0,10,1,0
840,1,1982,1,53,,0,0,5,10,,-1,,10,1,1
840,1,1982,,25,,1,0,,,,0,0,10,1,
840,1,1982,1,28,,1,0,,6,,0,0,10,1,0
840,1,1982,1,36,,0,0,10,8,,-1,1,10,1,
840,1,1982,3,45,,0,0,5,10,,-1,1,7,1,0
840,1,1982,5,26,,1,0,7,8,,0,,10,1,0
840,1,1982,,46,,1,0,9,9,,-1,0,10,1,1
840,1,1982,,49,,1,0,,8,,-2,0,10,1,0
840,1,1982,1,24,,1,,3,3,,-1,0,9,1,0
840,1,1982,1,62,,1,0,5,7,,-1,0,10,1,1
840,1,1982,1,42,,0,0,10,10,,-1,1,10,1,1
840,1,1982,1,28,,0,0,8,9,,-1,1,10,,1
840,1,1982,5,76,,1,0,9,9,,-1,0,10,1,0
840,1,1982,6,21,,0,0,7,7,,2,0,8,1,0
840,1,1982,,42,,1,0,9,7,,-1,1,10,1,1
840,1,1982,1,42,,0,0,,8,,0,0,10,1,0
840,1,1982,1,25,,0,1,5,6,,0,1,10,1,1
840,1,1982,1,56,,1,0,9,10,,0,0,10,1,0
840,1,1982,1,29,,1,0,7,1,,0,0,10,1,0
840,1,1982,3,20,,1,1,9,5,,-1,0,10,1,0
840,1,1982,4,29,,1,0,3,5,,1,0,10,1,0
840,1,1982,4,43,,1,0,,9,,-1,0,10,1,1
840,1,1982,3,18,,1,1,6,1,,-2,0,5,1,0
840,1,1982,1,19,,0,0,8,9,,-1,0,10,1,1
840,1,1982,5,54,,0,0,10,10,,2,0,10,1,1
840,1,1982,5,23,,0,0,10,10,,0,0,10,1,1
840,1,1982,4,53,,0,0,7,9,,-2,1,9,1,0
840,1,1982,1,,,0,0,6,2,,-1,0,9,1,0
840,1,1982,1,46,,1,0,10,1,,-2,0,10,1,0
840,1,1982,1,63,,1,0,10,9,,-1,0,10,1,1
840,1,1982,1,34,,1,0,7,1,,0,,10,0,0
840,1,1982,1,56,,1,0,,,,-1,1,1,1,0
840,1,1982,1,26,,0,0,9,9,,-1,0,10,1,1
840,1,1982,1,29,,0,0,5,8,,-1,0,10,1,
840,1,1982,10,43,,0,0,5,5,,1,0,7,1,1
840,1,1982,3,29,,1,0,5,9,,-2,1,10,1,0
840,1,1982,7,34,,1,0,3,7,,-1,1,1,1,1
840,1,1982,1,50,,0,0,,9,,-2,0,9,1,
840,1,1982,5,34,,0,0,5,10,,1,0,,-1,0
840,1,1982,1,63,,1,0,,8,,-1,0,10,1,0
840,1,1982,1,33,,0,0,6,8,,0,1,8,1,
840,1,1982,5,20,,0,0,5,10,,2,0,10,0,0
840,1,1982,1,31,,0,0,6,1,,0,0,10,1,0
840,1,1982,1,18,,0,0,7,5,,-1,1,10,1,0
840,1,1982,1,25,,1,0,5,10,,0,0,10,1,1
840,1,1982,,42,,0,0,4,9,,-1,1,10,1,1
840,1,1982,1,38,,0,0,3,10,,-2,,10,1,1
840,1,1982,9,28,,0,0,2,4,,1,0,10,-1,0
840,1,1982,5,24,,0,0,8,7,,-2,0,10,1,1
840,1,1982,,53,,0,0,9,9,,-1,1,10,1,1
840,1,1982,1,39,,0,0,10,7,,-1,1,10,1,1
840,1,1982,1,49,,0,0,4,3,,-1,0,10,1,1
840,1,1982,1,37,,0,0,7,8,,0,1,7,1,1
840,1,1982,5,33,,0,1,6,4,,1,0,8,1,1
840,1,1982,1,39,,0,0,5,6,,1,1,8,-1,1
840,1,1982,1,19,,1,0,,10,,0,0,10,1,1
840,1,1982,1,28,,0,0,5,5,,-1,0,9,1,0
840,1,1982,1,30,,0,0,6,4,,-1,0,9,1,1
840,1,1982,5,26,,0,0,10,8,,1,0,5,-1,1
840,1,1982,1,21,,1,0,6,2,,-2,0,10,1,1
840,1,1982,1,18,,0,1,5,3,,0,0,10,1,1
840,1,1982,8,18,,0,0,5,1,,0,0,4,1,0
840,1,1982,1,25,,1,0,,5,,-1,1,10,1,0
840,1,1982,5,63,,0,0,8,7,,0,0,10,1,1
840,1,1982,1,37,,1,0,5,4,,0,1,10,1,1
840,1,1982,1,30,,1,0,7,8,,-1,1,1,1,1
840,1,1982,1,27,,1,0,5,5,,-2,0,10,1,1
840,1,1982,1,25,,1,0,5,6,,1,0,5,1,1
840,1,1982,5,67,,0,0,7,5,,1,0,10,1,1
840,1,1982,1,53,,1,0,6,3,,0,,10,1,1
840,1,1982,1,24,,1,1,5,4,,0,0,10,1,0
840,1,1982,1,31,,0,0,5,10,,-1,0,9,1,1
840,1,1982,2,23,,1,0,7,2,,-1,1,10,0,0
840,1,1982,1,53,,1,0,6,8,,1,1,6,1,1
840,1,1982,10,32,,1,0,4,7,,0,1,8,-1,0
840,1,1982,1,42,,0,0,8,7,,1,0,10,1,1
840,1,1982,1,21,,1,0,8,10,,-2,1,10,1,1
840,1,1982,1,20,,0,0,10,10,,0,0,10,1,1
840,1,1982,1,66,,1,0,5,1,,-2,0,9,1,0
840,1,1982,1,18,,1,1,6,7,,-1,0,10,1,1
840,1,1982,1,41,,0,0,4,2,,-2,0,10,1,1
840,1,1982,2,45,,0,0,5,1,,0,1,5,-1,1
840,1,1982,3,69,,1,0,4,2,,0,0,3,-1,0
840,1,1982,1,22,,1,1,6,10,,-2,0,10,0,1
840,1,1982,1,21,,1,0,6,6,,0,0,10,1,
840,1,1982,3,28,,1,0,5,1,,0,0,7,1,0
840,1,1982,5,22,,1,,5,7,,1,0,9,1,0
840,1,1982,1,24,,0,0,6,8,,0,0,10,1,1
840,1,1982,1,22,,0,0,6,9,,1,,8,1,1
840,1,1982,1,60,,1,0,9,5,,-1,0,10,1,1
840,1,1982,5,25,,1,0,3,7,,-1,0,10,1,1
840,1,1982,7,20,,1,0,4,8,,-1,0,8,1,1
840,1,1982,1,65,,0,0,8,10,,0,0,10,1,1
840,1,1982,2,20,,1,,7,9,,0,1,10,1,1
840,1,1982,1,41,,1,0,,9,,-2,0,10,1,1
840,1,1982,5,21,,1,0,5,8,,0,0,8,0,
840,1,1982,8,75,,1,0,5,1,,-1,0,9,1,1
840,1,1982,5,24,,0,0,10,4,,0,0,10,1,1
840,1,1982,1,50,,0,0,7,8,,0,1,10,1,1
840,1,1982,4,24,,0,0,6,1,,1,1,6,-1,1
840,1,1982,1,62,,1,0,8,8,,0,0,10,1,1
840,1,1982,1,41,,0,0,,8,,0,0,10,1,1
840,1,1982,4,21,,1,0,4,7,,-1,1,10,1,1
840,1,1982,1,23,,0,0,5,1,,-1,0,10,1,
840,1,1982,5,24,,1,0,5,8,,0,1,8,1,
840,1,1982,5,24,,1,1,9,8,,0,0,10,1,1
840,1,1982,9,19,,0,0,7,8,,1,0,10,1,1
840,1,1982,1,24,,1,0,6,5,,-2,0,6,1,
840,1,1982,5,20,,0,0,8,8,,0,0,7,0,0
840,1,1982,4,51,,0,0,7,3,,0,0,8,1,1
840,1,1982,5,41,,0,0,3,4,,0,0,8,1,1
840,1,1982,4,90,,0,0,5,7,,-1,1,3,1,1
840,1,1982,9,29,,1,0,4,3,,2,1,1,-1,0
840,1,1982,6,19,,1,1,5,4,,2,0,8,-1,0
840,1,1982,1,36,,1,0,,10,,1,1,10,1,1
840,1,1982,1,33,,1,0,6,10,,-1,1,10,1,
840,1,1982,8,24,,0,0,,6,,2,1,1,0,
840,1,1982,6,20,,0,0,8,8,,0,0,5,1,1
840,1,1982,5,64,,1,0,5,1,,1,0,8,0,1
840,1,1982,1,68,,1,0,7,9,,0,0,10,1,1
840,1,1982,1,35,,1,0,5,9,,-1,1,10,1,1
840,1,1982,1,23,,1,0,4,2,,-2,0,10,1,1
840,1,1982,5,51,,1,0,10,7,,1,,9,0,1
840,1,1982,1,24,,0,0,6,8,,1,0,10,1,0
840,1,1982,1,44,,1,0,5,5,,0,0,10,1,1
840,1,1982,10,29,,1,0,6,7,,1,0,9,1,1
840,1,1982,1,21,,1,0,5,9,,1,0,8,1,1
840,1,1982,1,39,,1,0,2,6,,1,0,9,1,1
840,1,1982,7,28,,1,0,6,7,,1,0,8,1,
840,1,1982,3,20,,1,0,3,9,,1,0,9,1,0
840,1,1982,4,69,,1,0,7,9,,0,1,10,1,1
840,1,1982,2,23,,1,0,4,8,,0,0,10,0,1
840,1,1982,1,52,,1,0,6,6,,1,0,10,1,1
840,1,1982,4,20,,1,0,7,8,,-2,0,10,1,1
840,1,1982,5,21,,1,0,5,7,,0,0,7,1,0
840,1,1982,7,18,,1,0,6,7,,-1,1,10,1,1
840,1,1982,8,29,,0,0,4,5,,0,0,10,1,0
840,1,1982,1,21,,1,0,4,7,,-1,0,9,0,1
840,1,1982,7,61,,1,0,7,8,,-1,0,10,1,0
840,1,1982,3,34,,0,0,10,6,,0,0,10,1,1
840,1,1982,6,35,,1,1,8,1,,-1,0,10,1,1
840,1,1982,1,21,,1,0,8,3,,0,0,10,1,1
840,1,1982,1,36,,1,0,4,7,,1,0,7,1,0
840,1,1982,7,71,,0,0,9,8,,1,0,10,1,1
840,1,1982,1,66,,0,0,5,5,,1,0,10,1,1
840,1,1982,5,55,,1,0,6,1,,-1,0,9,1,1
840,1,1982,2,57,,0,0,2,3,,-1,0,10,1,
840,1,1982,2,18,,0,0,5,5,,-2,1,10,1,1
840,1,1982,1,21,,0,0,5,9,,1,1,8,1,1
840,1,1982,10,45,,0,0,3,7,,-1,0,3,1,1
840,1,1982,2,40,,1,0,5,9,,1,0,10,1,1
840,1,1982,9,18,,1,0,5,7,,-1,0,9,0,0
840,1,1982,5,23,,0,0,,10,,-1,0,10,0,0
840,1,1982,2,70,,1,0,,8,,-1,1,10,1,1
840,1,1982,1,26,,1,0,,9,,0,,8,1,1
840,1,1982,1,26,,0,0,2,5,,1,1,10,1,1
840,1,1982,1,30,,0,0,1,1,,0,0,10,1,1
840,1,1982,4,76,,0,0,2,5,,1,0,10,1,1
840,1,1982,10,21,,1,0,6,1,,1,0,8,1,0
840,1,1982,7,31,,1,0,6,3,,1,0,10,1,1
840,1,1982,1,51,,1,0,8,8,,-1,0,10,0,1
840,1,1982,3,33,,0,0,5,10,,1,0,10,1,1
840,1,1982,1,43,,1,0,6,4,,-1,1,10,1,0
840,1,1982,8,69,,0,0,5,2,,-1,0,6,0,1
840,1,1982,4,19,,0,0,5,4,,-2,0,9,1,0
840,1,1982,1,,,1,0,6,8,,0,0,10,1,1
840,1,1982,1,36,,1,0,7,7,,-1,0,10,1,1
840,1,1982,9,20,,1,0,5,8,,1,0,10,1,1
840,1,1982,1,18,,1,0,7,10,,0,0,10,1,1
840,1,1982,6,31,,1,0,5,7,,0,0,10,1,1
840,1,1982,1,70,,1,0,10,4,,0,0,10,1,1
840,1,1982,1,74,,0,0,,6,,1,0,9,1,1
840,1,1982,1,62,,1,0,10,10,,0,0,10,1,1
840,1,1982,5,21,,1,1,5,5,,0,0,10,1,1
840,1,1982,3,72,,1,0,1,9,,0,0,10,1,1
840,1,1982,1,18,,1,0,6,5,,0,0,8,1,1
840,1,1982,5,76,,0,0,5,9,,1,0,10,1,1
840,1,1982,1,53,,1,0,,10,,0,0,10,0,1
840,1,1982,1,55,,1,0,,7,,1,0,10,1,
840,1,1982,1,77,,1,0,,10,,-1,0,10,0,1
840,1,1982,1,58,,1,0,6,6,,-2,0,10,1,1
840,1,1982,8,56,,0,0,7,5,,-2,0,10,1,0
840,1,1982,8,23,,0,0,6,5,,1,0,8,0,1
840,1,1982,10,37,,0,0,,1,,1,0,10,1,0
840,1,1982,5,28,,0,0,1,2,,1,0,9,0,
840,1,1982,1,38,,1,0,6,6,,-1,0,10,1,1
840,1,1982,1,21,,0,0,9,4,,-2,0,10,1,1
840,1,1982,1,19,,1,0,5,5,,0,1,10,1,0
840,1,1982,2,54,,0,1,5,2,,0,0,7,-1,1
840,1,1982,1,32,,0,0,6,7,,0,1,5,1,0
840,1,1982,5,58,,1,0,5,5,,-1,0,8,1,0
840,1,1982,1,19,,0,0,3,7,,0,0,9,-1,0
840,1,1982,1,68,,1,0,1,10,,0,0,10,1,1
840,1,1982,3,34,,1,0,10,1,,-2,0,10,1,1
840,1,1982,1,72,,1,0,3,6,,1,0,10,1,0
840,1,1982,7,29,,1,1,6,7,,-1,0,2,1,1
840,1,1982,1,74,,0,0,5,10,,1,1,10,1,1
840,1,1982,5,30,,1,0,3,8,,-1,1,10,1,1
840,1,1982,1,60,,1,0,8,5,,1,1,10,1,1
840,1,1982,6,70,,0,0,,6,,1,1,9,1,1
840,1,1982,1,74,,1,0,9,4,,1,0,10,1,1
840,1,1982,2,46,,1,0,6,6,,-1,1,10,1,1
840,1,1982,7,35,,0,0,3,1,,1,0,10,1,0
840,1,1982,1,25,,1,1,,7,,1,0,10,1,1
840,1,1982,5,63,,0,0,5,9,,0,0,10,1,1
840,1,1982,1,29,,1,0,8,3,,-1,0,10,1,1
840,1,1982,1,21,,1,0,7,8,,2,0,10,1,1
840,1,1982,5,19,,0,0,8,9,,1,0,10,1,1
840,1,1982,1,38,,0,0,10,6,,-2,1,10,1,1
840,1,1982,5,34,,1,0,1,1,,-2,0,10,1,0
840,1,1982,4,56,,0,0,2,7,,0,0,10,1,1
840,1,1982,1,48,,1,0,8,10,,1,0,10,1,1
840,1,1982,5,26,,0,0,5,7,,-2,0,7,0,0
840,1,1982,5,52,,1,0,5,3,,0,1,9,1,1
840,1,1982,1,18,,0,0,7,9,,2,0,10,1,1
840,1,1982,1,18,,0,1,1,7,,-1,0,10,1,1
840,1,1982,1,24,,1,1,5,6,,1,1,10,1,0
840,1,1982,1,29,,0,1,4,2,,0,0,2,1,1
840,1,1982,5,27,,0,,5,8,,0,0,7,0,
840,1,1982,1,45,,0,1,8,3,,-1,0,10,1,1
840,1,1982,8,18,,1,0,3,8,,0,0,5,1,1
840,1,1982,8,30,,0,0,4,3,,0,0,10,0,0
840,1,1982,1,69,,1,0,9,8,,0,0,10,1,1
840,1,1982,3,24,,0,0,6,3,,1,0,10,-1,0
840,1,1982,1,76,,0,0,6,6,,-1,1,10,1,1
840,1,1982,1,23,,1,0,8,8,,-1,0,10,1,1
840,1,1982,1,60,,1,0,8,10,,1,0,10,1,1
840,1,1982,3,23,,1,0,8,7,,-1,0,10,1,0
840,1,1982,1,28,,0,0,8,6,,-2,0,10,1,1
840,1,1982,1,60,,0,0,5,8,,0,1,9,1,1
840,1,1982,2,49,,0,0,3,9,,0,0,7,,1
840,1,1982,1,51,,1,0,10,6,,1,0,10,1,1
840,1,1982,7,34,,1,0,6,3,,0,0,6,1,0
840,1,1982,1,18,,0,0,2,,,-1,0,10,1,1
840,1,1982,3,22,,0,1,10,7,,0,0,10,1,1
840,1,1982,1,81,,0,0,,5,,-2,1,10,1,1
840,1,1982,,63,,0,0,,,,-1,0,10,1,1
840,1,1982,5,96,,0,0,,8,,-2,1,10,1,1
840,1,1982,1,52,,0,0,7,6,,-1,0,9,1,1
840,1,1982,1,50,,1,0,9,1,,-2,0,10,1,1
840,1,1982,4,57,,0,0,5,4,,0,0,10,1,1
840,1,1982,5,23,,0,1,1,6,,0,0,7,1,0
840,1,1982,10,28,,0,0,10,9,,-1,0,10,1,1
840,1,1982,4,54,,0,0,6,3,,0,0,1,1,0
840,1,1982,1,22,,1,0,10,9,,-2,,10,1,1
840,1,1982,1,64,,0,0,7,6,,0,0,7,1,0
840,1,1982,5,18,,0,0,7,8,,1,0,7,1,1
840,1,1982,1,37,,0,0,7,8,,-2,1,10,1,1
840,1,1982,1,42,,1,0,5,10,,0,0,,1,1
840,1,1982,2,59,,0,0,7,7,,-1,0,10,1,1
840,1,1982,10,22,,1,0,7,8,,-1,0,10,1,1
840,1,1982,1,23,,1,0,6,3,,-1,0,9,1,1
840,1,1982,5,18,,0,0,,8,,1,0,6,1,1
840,1,1982,10,19,,0,0,3,3,,-1,0,10,1,0
840,1,1982,1,18,,1,0,6,4,,0,1,1,1,1
840,1,1982,,45,,0,0,2,8,,0,,10,1,1
840,1,1982,1,24,,0,0,7,6,,-1,0,7,1,1
840,1,1982,1,19,,1,1,,7,,0,0,8,1,1
840,1,1982,5,25,,1,1,6,5,,-2,0,10,1,1
840,1,1982,3,20,,1,0,,6,,-2,0,10,1,1
840,1,1982,10,58,,1,0,10,7,,-1,0,10,1,1
840,1,1982,2,77,,1,0,,8,,-2,1,10,1,1
840,1,1982,2,41,,0,0,1,9,,0,0,10,1,1
840,1,1982,1,53,,1,0,7,9,,-2,0,10,1,1
840,1,1982,3,24,,0,0,,4,,0,0,5,1,0
840,1,1982,1,39,,1,0,8,1,,-1,0,10,1,1
840,1,1982,1,42,,1,0,5,5,,0,0,10,1,0
840,1,1982,1,77,,0,0,7,4,,-1,0,10,1,1
840,1,1982,5,32,,1,0,6,8,,0,0,10,0,0
840,1,1982,5,58,,1,0,7,6,,1,0,10,1,0
840,1,1982,1,23,,0,0,6,8,,0,1,8,1,1
840,1,1982,,46,,1,0,,9,,0,0,9,,1
840,1,1982,1,20,,1,0,9,10,,-1,1,10,1,1
840,1,1982,1,32,,0,0,4,8,,-1,1,10,-1,1
840,1,1982,1,72,,0,0,7,8,,1,0,9,1,1
840,1,1982,8,19,,1,0,5,5,,0,0,10,1,1
840,1,1982,6,66,,0,0,4,9,,-2,0,7,1,1
840,1,1982,5,42,,1,0,5,6,,0,1,10,1,1
840,1,1982,1,42,,1,0,5,3,,-2,0,10,1,1
840,1,1982,1,35,,0,0,,6,,-1,0,7,1,1
840,1,1982,1,19,,1,0,10,1,,-1,0,10,1,0
840,1,1982,1,58,,0,0,9,10,,1,0,10,1,1
840,1,1982,5,23,,0,0,5,8,,-1,0,10,1,0
840,1,1982,7,22,,1,0,2,5,,1,1,10,1,0
840,1,1982,1,62,,0,0,5,2,,0,0,10,-1,0
840,1,1982,1,31,,0,1,6,2,,1,0,8,0,0
840,1,1982,1,31,,1,0,6,,,0,0,10,1,1
840,1,1982,4,42,,0,0,5,5,,-1,1,10,1,1
840,1,1982,2,19,,1,0,6,8,,-2,0,7,1,0
840,1,1982,10,24,,1,,5,5,,-1,0,7,0,0
840,1,1982,1,26,,0,0,8,2,,-1,0,10,1,1
840,1,1982,1,75,,1,0,,3,,0,1,10,1,1
840,1,1982,8,35,,0,0,2,8,,-1,1,7,1,0
840,1,1982,5,20,,1,0,4,7,,1,0,10,0,0
840,1,1982,5,20,,1,0,5,9,,1,0,8,1,
840,1,1982,1,36,,0,1,6,3,,0,0,6,,0
840,1,1982,6,44,,1,0,6,8,,-1,0,8,1,0
840,1,1982,1,38,,0,0,9,9,,0,0,10,1,1
840,1,1982,5,18,,1,0,10,5,,1,0,10,1,1
840,1,1982,10,23,,0,0,5,10,,1,0,10,1,1
840,1,1982,5,22,,1,0,,7,,0,0,10,1,1
840,1,1982,1,35,,1,0,,7,,1,0,1,1,1
840,1,1982,5,20,,1,0,9,1,,-1,0,10,1,1
840,1,1982,5,25,,0,0,,3,,-1,0,9,1,1
840,1,1982,7,21,,1,1,6,1,,1,0,10,1,1
840,1,1982,6,22,,1,0,6,7,,1,0,8,1,1
840,1,1982,1,63,,1,0,5,,,0,0,10,1,1
840,1,1982,1,19,,1,0,7,7,,-1,0,8,1,1
840,1,1982,5,34,,1,0,5,5,,1,0,10,1,1
840,1,1982,6,26,,1,0,6,7,,0,0,10,1,0
840,1,1982,1,24,,1,1,5,3,,-1,0,10,1,1
840,1,1982,2,21,,1,1,6,1,,-1,0,9,1,1
840,1,1982,4,27,,1,0,6,7,,0,1,5,1,0
840,1,1982,1,23,,1,0,6,7,,-1,0,2,1,1
840,1,1982,1,62,,1,0,,7,,-1,0,10,1,1
840,1,1982,1,36,,1,0,10,10,,1,0,10,1,1
840,1,1982,8,30,,0,0,5,9,,1,1,8,1,0
840,1,1982,1,,,1,0,6,5,,-1,0,10,1,0
840,1,1982,5,18,,0,0,1,2,,0,,10,0,0
840,1,1982,5,23,,0,1,6,5,,0,0,3,1,0
840,1,1982,1,32,,0,0,5,1,,0,0,10,1,0
840,1,1982,5,45,,0,0,,5,,-1,0,7,1,1
840,1,1982,4,30,,1,0,6,5,,1,0,8,1,0
840,1,1982,5,42,,1,0,10,5,,-1,0,10,1,0
840,1,1982,9,25,,1,0,5,3,,1,0,5,1,0
840,1,1982,10,26,,0,1,,1,,-2,0,10,1,1
840,1,1982,5,35,,0,1,5,3,,2,1,5,0,0
840,1,1982,1,49,,1,1,5,1,,1,0,10,-1,1
840,1,1982,1,48,,0,0,9,10,,-1,0,10,1,1
840,1,1982,5,43,,0,0,5,7,,0,0,10,1,0
840,1,1982,1,19,,0,0,5,10,,0,0,10,1,1
840,1,1982,5,20,,1,0,5,5,,-1,0,7,1,0
840,1,1982,5,53,,1,0,2,5,,-1,0,10,1,0
840,1,1982,1,22,,0,0,10,8,,0,0,10,1,
840,1,1982,1,34,,0,0,7,7,,1,0,10,1,1
840,1,1982,1,29,,1,0,8,4,,0,1,10,1,1
840,1,1982,5,35,,1,0,4,9,,0,0,3,1,1
